on_street_name,number_of_persons_injured,number_of_persons_killed,number_of_persons_harmed
BELT PARKWAY                    ,937,5,942
GRAND CENTRAL PKWY              ,472,2,474
BROOKLYN QUEENS EXPRESSWAY      ,448,3,451
LONG ISLAND EXPRESSWAY          ,427,2,429
FDR DRIVE                       ,388,2,390
MAJOR DEEGAN EXPRESSWAY         ,361,3,364
BROADWAY                        ,340,1,341
ATLANTIC AVENUE                 ,311,2,313
VAN WYCK EXPWY                  ,308,1,309
CROSS BRONX EXPY                ,302,2,304
LINDEN BOULEVARD                ,283,2,285
BRUCKNER EXPRESSWAY             ,262,4,266
CROSS ISLAND PARKWAY            ,253,4,257
JACKIE ROBINSON PKWY            ,223,1,224
3 AVENUE                        ,217,2,219
BRONX RIVER PARKWAY             ,200,1,201
FLATBUSH AVENUE                 ,192,0,192
BRUCKNER BOULEVARD              ,185,4,189
NORTHERN BOULEVARD              ,183,1,184
JAMAICA AVENUE                  ,172,2,174
UTICA AVENUE                    ,168,1,169
BEDFORD AVENUE                  ,162,0,162
QUEENS BOULEVARD                ,161,0,161
2 AVENUE                        ,155,1,156
HENRY HUDSON PARKWAY            ,149,6,155
NORTH CONDUIT AVENUE            ,149,0,149
EASTERN PARKWAY                 ,144,0,144
MYRTLE AVENUE                   ,142,1,143
VERRAZANO BRIDGE UPPER          ,143,0,143
NOSTRAND AVENUE                 ,141,0,141
ROCKAWAY BOULEVARD              ,137,4,141
BUSHWICK AVENUE                 ,140,0,140
5 AVENUE                        ,132,2,134
HYLAN BOULEVARD                 ,133,1,134
STATEN ISLAND EXPRESSWAY        ,133,1,134
GRAND CONCOURSE                 ,130,3,133
JEROME AVENUE                   ,131,1,132
WEBSTER AVENUE                  ,130,0,130
LIBERTY AVENUE                  ,127,1,128
KINGS HIGHWAY                   ,128,0,128
SUTTER AVENUE                   ,124,0,124
PENNSYLVANIA AVENUE             ,121,0,121
WOODHAVEN BOULEVARD             ,116,3,119
7 AVENUE                        ,113,3,116
8 AVENUE                        ,114,2,116
1 AVENUE                        ,112,0,112
METROPOLITAN AVENUE             ,109,2,111
FULTON STREET                   ,109,1,110
EAST TREMONT AVENUE             ,104,1,105
BOSTON ROAD                     ,101,2,103
SOUTH CONDUIT AVENUE            ,100,2,102
PARK AVENUE                     ,100,1,101
MERRICK BOULEVARD               ,99,0,99
GOWANUS EXPY (BQE)              ,97,0,97
WEST FORDHAM ROAD               ,95,0,95
WHITESTONE EXPRESSWAY           ,93,1,94
HUTCHINSON RIVER PARKWAY        ,92,0,92
EAST GUN HILL ROAD              ,90,0,90
CHURCH AVENUE                   ,90,0,90
AMSTERDAM AVENUE                ,89,0,89
HARLEM RIVER DRIVE              ,86,1,87
SOUTHERN BOULEVARD              ,87,0,87
WHITE PLAINS ROAD               ,86,1,87
WESTCHESTER AVENUE              ,83,1,84
BEACH CHANNEL DRIVE             ,84,0,84
ROCKAWAY PARKWAY                ,77,3,80
PITKIN AVENUE                   ,80,0,80
RALPH AVENUE                    ,77,0,77
EAST 138 STREET                 ,76,1,77
SPRINGFIELD BOULEVARD           ,74,1,75
SAINT NICHOLAS AVENUE           ,74,0,74
FLUSHING AVENUE                 ,74,0,74
REMSEN AVENUE                   ,73,0,73
HILLSIDE AVENUE                 ,72,0,72
OCEAN AVENUE                    ,70,1,71
RICHMOND AVENUE                 ,71,0,71
CROSS BAY BOULEVARD             ,69,1,70
CLEARVIEW EXPRESSWAY            ,70,0,70
OCEAN PARKWAY                   ,68,2,70
BRONX WHITESTONE BRIDGE         ,69,0,69
4 AVENUE                        ,69,0,69
LAURELTON PARKWAY               ,69,0,69
FRANCIS LEWIS BOULEVARD         ,66,1,67
LEXINGTON AVENUE                ,67,0,67
NASSAU EXPRESSWAY               ,67,0,67
FARMERS BOULEVARD               ,65,1,66
FLATLANDS AVENUE                ,65,1,66
ROCKAWAY AVENUE                 ,65,1,66
MAIN STREET                     ,65,0,65
ASTORIA BOULEVARD               ,65,0,65
CROSS BRONX EXPRESSWAY          ,63,0,63
VANWYCK EXPRESSWAY              ,62,0,62
TRIBOROUGH BRIDGE               ,60,0,60
